Teks_Aspirasi,Biro / Unit
parkir untuk motor di gedung jauh,ukk
kantin kurang besar utama ketika jam makan siang selalu penuh,kantin
layan skkk baka lambat,baka
layan skkk di baka lambat,baka
kantin panas sekali,kantin
layan di poliklinik kurang baik saya memang sering sekali ke poliklinik bulan minimal x ke sana dengan alas yang sama yaitu sakit amandel namun akhir ini saya malas ke sana ketika saya ke sana saya sering acuh dan seperti marah seperti bukan marah cara benar marah telah itu saya selalu saran ke dokter spesialis tht tenggorok hidung telinga hingga saya ke dokter lain yaitu dokter umum kata ha radang biasa saja tidak perlu sampai ke spesialis saya kurang suka dengan layan seperti mengapa selalu arah ke spesialis apakah poliklinik asal yang penting tidak libat lepas tangan saya juga pernah kena kolestrol darah tinggi dan asam urat telah itu dokter saran ke spesialis sakit dalam padahal saya ha ke dokter umum dan beri resep lama bulan telah itu saya cek darah dan semua sakit saya turun drastis hingga saat ini kenapa kita selalu dilepastangankan saya sakit hati soal saya anggap seperti bukan pasien,poliklinik
turut saya akan lebih baik apabila jumlah ht tambah sehingga bisa guna untuk banyak panitia,uppk
gedung kelas kurang gorden,uppk
layan skkk di baka lambat karena ada beberapa giat yang skkk belum keluar padahal nilai akhir sudah keluar,baka
dan kantin panas sekali apalagi jika cuaca pada hari itu panas dan kondisi kantin ramai sekali,kantin
juga toilet toilet tolong kasih tisu ya karena seperti percuma ada tempat tisu tetapi tidak ada isi itu di gedung kalau boleh semua gedung beri tisu di toilet cewek,uppk
poliklinik bisa lebih lama buka layan sudah baik,poliklinik
mohon di tiap depan kelas beri tempat duduk misal di gedung di lantai beri tempat duduk untuk tunggu jam ajar sebut,uppk
skkk mahasiswa sering hilang padahal sudah sempat masuk jadi dari yang asli sudah lulus skkk jadi tidak lulus lagi kalau begitu kan susah mahasiswa padahal sudah isi acara dalam kasus ini pada suatu acara tolong diberitahukan jika ada ubah standar dll biar jelas,baka
uppk kurang ramah staf dan kadang staf sengaja telat diri untuk buka suatu ruang,uppk
wifi pcu no password tidak ada lagi,puskom
pintu toilet laki yang terlalu kecil sehingga sempit untuk keluar dan masuk ketika ada ember untuk tampung air biasa toilet ini letak di dekat lift genap gedung dan ada toilet tentu yang milik sirkulasi udara yang tidak terlalu bagus sehingga buat toilet asa pengap,uppk
poliklinik sudah milik layan yang bagus beberapa kali periksa di poliklinik tangan dengan baik tanpa tunggu terlalu lama dan dokter khusus dokter gigi sangat baik dalam layan pasien,poliklinik
saat pinjam ruang orang yang buka pintu ruang tidak tepat waktu jadi acara jadi molor jadi lebih repot lagi padahal agenda yang harus laku banyak dan mepet,uppk
fasilitas komputer puskom kurang update dan perangkat lunak yang ada kurang tunjang kuliah,puskom
leta kipas kantin kurang strategis sehingga banyak yang panas,kantin
jaring internet di puskom kurang stabil walau guna lan,puskom
sim petra sudah lebih cepat dan prs lebih mudah karena tidak batas waktu login tentu,baak
kondisi pustaka yang tidak kondusif atau terlalu berisik sebab tidak ada tegur tegas dari pustaka untuk orang yang picu ribut,perpustakaan
jam operasional poliklinik terlalu singkat,poliklinik
baak layan kurang cepat misal untuk ganti ktm yang ribet,baak
pustaka lantai wifi cenderung lambat,puskom
tas di pustaka banyak yang sudah robek dan sering habis ketika jam siang,perpustakaan
lapang parkir yang becek ketika hujan dan pasir ketika tidak hujan,ukk
proyektor pada gedung lantai dan kena sinar sehingga kurang lihat jika guna pada siang hari ac gedung lantai kurang dingin,uppk
jaga parkir gedung terkadang masih kurang tegas contoh tidak minta stnk saat masuk,ukk
update proses proposal kadang lupa diupdate sehingga proposal hampir minggu tidak jadi ubah,baka
wifi sering guna untuk main main sehingga lemot saat guna untuk ajar,puskom
banyak mahasiswa yang berisik di pustaka walau sudah ingat,perpustakaan
jarak antara gedung dengan poliklinik begitu jauh jika ada anak mahasiswa dari gedung,poliklinik
lantai gedung masih banyak yang retak,uppk
meja kursi gedung banyak yang rusak kurang meja kursi untuk mahasiswa kidal,uppk
toilet mahasiswa tidak ada tisu,uppk
puskom sudah baik dalam internet maupun layan tetapi di bagi ruang laptop terkadang sambung lan tidak bisa di guna tidak ada koneksi,puskom
pustaka sudah baik tetapi kadang tas transparan habis,perpustakaan
kerja uppk dalam fasilitas kelas nilai kurang mulai dari kursi yang banyak rusak maupun proyektor yang sering rusak di beberapa kelas,uppk
pcu no password tambah lagi akses titik,puskom
ada beberapa ruang kelas di gedung lantai yang proyektor masalah entah itu kabel atau dari proyektor sendiri kadang warna tidak jernih layar jadi warna biru atau kuning,uppk
banyak proyektor kelas yang harus ganti kuning,uppk
toilet kj bau sengat,uppk
banyak kabel lan yang tidak bisa di puskom,puskom
layan lab untuk laptop hapus di puskom jadi ketika puskom penuh sebab sulit dapat ruang untuk kerja tugas yang butuh tempat yang nyaman,puskom
dengan ada situs sistem informasi upa sim dan lentera yang guna untuk kuliah,baak
turut saya puskom kurang manfaat dan kurang tarik minat mahasiswa ke situ lebih baik jika jadi wifi pusat dan mahasiswa tidak perlu login dan batas guna wifi,puskom
kantin sangat panas gelap,kantin
layan baak kurang sopan dalam layan mahasiswa,baak
waktu urus legalisir khs masih cukup lama jam,baak
kantin mahal,kantin
tugas puskom tingkat lagi ramah,puskom
kursi di banyak yang rusak,uppk
layan di pustaka sangat nyaman untuk mahasiswa yang ingin baca ajar,perpustakaan
layan di pustaka sudah baik akan lebih baik jika koleksi buku digital atau ebook luas,perpustakaan
tugas uppk lambat saat buka ruang sehingga harus laku konfirmasi kali kali,uppk
toilet di gedung juga bersih kurang dan bau air toilet juga sering mati apalagi air wastafel beberapa toilet di gedung juga terang kurang,uppk
uppk sering lupa ketika ada yang pinjam kelas juga pernah waktu pinjam barang sudah koordinasi dan kata ada dan bisa pinjam tetapi hari nyata barang pinjam orang lain ketika acara dan ada kendala kadang layan juga lambat,uppk
saat pinjam barang untuk guna di rk w jadi miss antara uppk dengan jaga rk uppk minta kita untuk urus sendiri ke jaga namun jaga bilang itu urus uppk selesai juga lambat lantar dua pihak terus terus seperti itu,uppk
layan untuk pinjam ruang yang harus cari staf dahulu di lantai tentu yang susah atau ribet,uppk
urus baka yang cenderung tidak ramah saat saya datang masuk ke sana sambut dengan tidak baik jadi malas untuk kembali ke sana,baka
pol gigi sering tutup,poliklinik
puskom wifi masalah di saat desak,puskom
urus loker pustaka yang cenderung tidak ramah saat jadi transaksi dan saya ucap terima kasih beliau bahkan tidak tanggap sedikit mungkin ini hal sepele namun bagi banyak orang hal ini mungkin sangat arti,perpustakaan
toilet pria di kj dan yang kurang bersih dan bau kurang sedap,uppk
dapat ubin lantai di beberapa lantai gedung yang retak dan timbul keluar lepas seperti pasang terlalu rapat sehingga saat jadi muai ubin sebut lepas,uppk
layan skkk sangat lambat,baka
layan proposal dan lpj kurang cepat,baka
turut saya bersih kamar mandi perlu perhati lagi utama toilet yang ada di dekat kj dan juga toilet gedung karena toilet kj dan gedung kes bau tidak enak dan kotor,uppk
sound di audio visual dan kadang suka masalah sehingga hambat jalan acara dan terkadang buat nilai minus pada acara sebut,uppk
baka banyak mau dan lama proses proposal,baka
layan internet di universitas kristen petra sangat tunjang ajar,puskom
puskom sangat enak guna karena kondusif ruang,puskom
penyebrangan oleh satpam sangat bantu,ukk
kantin terlalu kecil jadi kadang tidak dapat tempat duduk,kantin
tertib di pustaka kurang jaga,perpustakaan
toilet kadang bau dan basah tidak enak guna toilet pernah tidak ada air,uppk
kantin terlalu jauh kantin juga jauh dan tidak ada snack tata kantin aneh dan sempit harga kantin mahal,kantin
poliklinik baik sedia sarana seperti uks bagi mahasiswa ada kasur untuk istirahat ketika sakit,poliklinik
layan baka terkadang kurang sampai dengan jelas khusus dalam bidang proposal,baka
layan baak dalam urus sistem informasi sudah baik dan pada,baak
sedia barang pinjam uppk kurang banyak dan koordinasi dengan tugas uppk kurang jelas,uppk
layan skkk di baka lambat,baka
ada kelas terkadang kurang bisa bantu laksana ajar seperti ada ganggu mikrofon pada salah satu kelas yang ada di gedung juga kelas di gedung selalu banyak nyamuk sehingga alami ganggu dalam ajar,uppk
toilet di gedung lantai pintu untuk kunci harap baik kucing yang ada di kj maupun kantin sangat ganggu,uppk
layan skkk di baka lambat,baka
buku yang dapat dalam pustaka tata dengan sangat rapi para layan pustaka sikap dengan sangat ramah,perpustakaan
kurang yang dapat di pustaka yaitu saat cari buku lalu via situs yang sedia universitas kristen petra dapat nomor dan juga letak ada buku sebut namun saat cari buku yang letak sesuai dengan nomor buku akan tetapi yang temu bukan buku sebut oleh karena itu masih dapat beberapa buku yang belum ada sesuai dengan tempat,perpustakaan
kursi di kelas yang ada komputer terlalu rendah jadi tidak baik kalau lihat layar terus,puskom
kantin kipas yang di langit seram seperti mau lepas panas banget,kantin
ruang ac kurang dingin proyektor yang tengah susah baca,uppk
parkir di lapang kampus utara kalau malam terlalu gelap sering harus guna senter ponsel,ukk
parkir di lapang kampus utara tidak ada garis marka sehingga mahasiswa parkir ngawur dan makan tempat yang tidak harus,ukk
anak yang main di lapang kampus utara tidak awas bola sering kena mobil yang parkir,ukk
proses layan skkk giat eksternal terlalu lama,baka
proses keluar jadwal kuliah lumayan lama,baak
tolong sedia puskom di gedung juga,puskom
layan cepat ramah dokter juga ramah,poliklinik
tugas pustaka tidak tegur cara langsung mahasiswa yang ribut di pustaka kadang pustaka lantai lebih berisik daripada kantin,perpustakaan
buku dalam bahasa asing selain inggris perlu tambah,perpustakaan
toilet perempuan di gedung sering becek wastafel air mati tidak ada sabun cuci tangan tidak ada tisu sering bau cuma ketika asp saja bersih dan ada tisu sabun,uppk
layan sudah cukup baik ha saja tempat sampah yang ada di universitas kristen petra beberapa tulis kurang jelas dan juga harap beri info atau jelas kena jenis sampah beberapa orang ada belum tahu kena jenis sampah yang mau buang,uppk
serta poliklinik cukup bantu mahasiswa cuma saran agar poliklinik juga ada di gedung agar anak gedung lebih mudah dapat layan sehat juga dan tidak perlu jauh ke gedung,poliklinik
layan skkk di baka terkadang salah menginput angka,baka
sulit akses jurnal lalu pustaka petra yang langgan selain itu sudah baik,perpustakaan
uppk bagi beberapa tempat untuk fasilitas toilet kurang bersih,uppk
pustaka sangat nyaman dan sangat bagus bagi mahasiswa untuk tambah tahu dari buku yang ada dapat wifi juga,perpustakaan
koleksi beberapa buku di pustaka ada yang hilang,perpustakaan
layan server sistem informasi mahasiswa kurang cepat dalam olah informasi kurang up to tanggal,baak
untuk kursi yang rusak dan sudah tidak layak guna bisa baik atau baru,uppk
layan pinjam barang di baka tidak di acc dan tidak jelas,baka
layan uppk sudah baik dalam rawat fasilitas,uppk
layan ukk sudah baik namun awas perlu tingkat,ukk
layan baak sudah baik untuk urus perlu akademik mahasiswa,baak
puskom sudah baik dalam alur pinjam,puskom
untuk uppk bagai unit yang pelihara sarana ruang kelas seringkali banyak barang penting milik mahasiswa yang tinggal di kelas namun saat cari tidak temu barang sebut namun memang barang sebut jadi tanggung jawab mahasiswa jika jadi hilang maka hal sebut karena teledor mahasiswa saya harap bahwa uppk mampu jaga ruang kelas serta tiap barang yang tinggal di dalam kelas agar dapat dengan mudah kembali kepada milik,uppk
semua kantin yang ada di universitas kristen petra panas,kantin
ac setel terlalu dingin di beberapa ruang yang guna untuk beberapa orang saja,uppk
layan mohon skkk terlalu ribet mesti ketua yang kumpul tidak bisa wakil,baka
kantin dan lebih panas daripada selain karena bukan ruang buka seperti mungkin bisa benah dengan tambah kipas angin,kantin
sayang sekali letak pol terlalu jauh utama dari gedung,poliklinik
skkk sering lambat keluar oleh baka,baka
kerja uppk kes lambat dan sering jadi miskomunikasi dengan panitia,uppk
uppk banyak mikrofon nirkabel,uppk
puskom pada saat jam kuliah langsung sering penuh dan ramai,puskom
skkk keluar lambat sekali,baka
untuk puskom ada beberapa komputer yang tidak bisa jalan dengan baik sehingga waktu buat uji akhir semester tiba rusak dan harus ulang kembali uas,puskom
lalu untuk poliklinik kadang ribet jadwal dan daftar,poliklinik
situs kumpul tesis lalu pustaka sering error masalah,perpustakaan
aju proposal giat lalu baka agak sulit,baka
wifi di petra lemot sekali koneksi tidak stabil,puskom
alur layan proposal dan lpj di baka benar sudah baik tapi soal revisi lpj dll mohon diberitahu lebih baik lagi alam tahun lalu terlalu banyak revisi yang tidak jelas,baka
variasi makan dan jumlah stan makan kurang kantin panas bukan kaleng wkwkwk,kantin
toilet di kolam jodoh yang hampir selalu bau jadi kalau duduk di kursi itu sering rasa bau padahal bersih tapi bau,uppk
saran saya kepada poliklinik agar tenaga medis lebih tingkat kualitas karena beberapa alam saya dan teman saya obat yang beri kurang begitu manjur dan efektif,poliklinik
poliklinik universitas kristen petra baik posisi di tempat yang lebih strategis dan lihat serta dekat dengan gedung mana hal ini karena dengan butuh mahasiswa tidak ha mahasiswa di gedung,poliklinik
untuk gedung beberapa toilet di beberapa lantai gedung air keran mati flush juga kurang lancar sehingga terkadang tidak bersih water jet juga kurang lancar sabun cuci tangan juga tidak semua toilet gedung sedia tisu juga,uppk
antar jemput ke anta cukup baik,ukk
makan di kantin kurang enak tolong tingkat,kantin
kantin panas karena terlalu banyak mahasiswa,kantin
layan poliklinik obat yang beri kadang tidak manjur sudah minum sesuai atur tetapi tidak kunjung sembuh,poliklinik
lift di gedung juga tidak milik sensor yang baik jadi pintu bisa tutup walaupun sedang ada yang masuk ke dalam lift,uppk
untuk beberapa fasilitas seperti meja kursi sudah banyak yang kurang baik di kelas gedung,uppk
sedikit masuk untuk pol poliklinik mungkin lebih baik bila ada juga di gedung lain selain gedung karena siswa di gedung sangat jauh,poliklinik
layan shuttle kurang harus beri tanda shuttle akan datang jam sekian contoh seperti bus luar negeri yang kasih tahu bus datang berapa menit lagi dll atau mahasiswa bisa kasih tahu shuttle kalau ada mahasiswa yang tunggu karena shuttle sangat lama bahkan bisa tidak datang kalau tidak minta tolong satpam sekitar,ukk
wifi di puskom nge lag nge lag,puskom
untuk pol gigi layan belit belit untuk tambal gigi harus pergi ke sana bolak balik,poliklinik
layan poliklinik perlu baik saya pernah beri obat yang keliru,poliklinik
puskom di gedung belum ada,puskom
proyektor yang umum guna di kelas resolusi rendah,uppk
baka harap lebih responsif dalam balas email,baka
tempat duduk di pustaka kurang sehingga seringkali banyak yang penuh,perpustakaan
layan dan lengkap fasilitas pustaka sangat baik,perpustakaan
toilet di kj gedung kadang tidak bersih,uppk
lahan kosong di gedung dapat manfaat bagai lahan parkir mobil,ukk
proyektor di beberapa kelas gedung ada yang kurang terang,uppk
bersih kelas sudah jaga sehingga saat kerja tugas juga sudah enak,uppk
layan di pustaka sudah muas pustaka juga sedia fasilitas lain seperti nonton film dan dapat pinjam ruang untuk kerja kelompok maupun rapat,perpustakaan
kantin gedung panas,kantin
wifi lambat,puskom
kantin kurang ada yang jual makan kecil seperti kue atau snack seperti di kantin ada paopie,kantin
lahan parkir gedung di basement harap jangan pindah,ukk
turut saya layan pada uppk sudah baik respon mereka cepat dalam tanggap kami contoh dalam pinjam ruang pinjam barang ha saja dalam beberapa sempat saya juga temu lambat buka ruang khusus saat hari libur mahasiswa,uppk
puskom untuk saya cukup cepat dan profesional dalam sedia layan bagi kami khusus dalam guna komputer maupun pinjam barang di puskom yaitu proyektor,puskom
untuk ukk layan yang beri sudah cukup baik dan cepat apalagi orang di sana jamu kami dengan ramah dan adakala canda sehingga buat kami tidak terlalu tegang,ukk
proyektor gedung tidak fungsi dengan baik,uppk
kantin kurang kenal,kantin
kantin agak panas,kantin
pustaka sudah sangat baik ha saja buku tentang didik anak sekolah dasar tidak update,perpustakaan
layan skkk lalu link sudah baik tetapi biasa hirau jadi perlu ada bantu orang dalam untuk cepat urus skkk,baka
saya ingin beri saran pada baka untuk beberapa giat layan poin skkk cenderung lama baik proses dapat cepat agar mahasiswa tidak bingung,baka
layan buat ktm terlalu ribet karena harus minta surat hilang dari puskom dan ukk padahal tidak beri alas mengapa harus laku hal sebut,baak
wifi gedung lambat tolong baik supaya lebih cepat,puskom
kurang fokus antara kerja baka dengan lembaga mahasiswa jadi olah olah baka ambil alih untuk meng acc giat mahasiswa harus di acc oleh bpmf,baka
layan poliklinik terlalu jauh apabila untuk mahasiswa yang ada di gedung dan,poliklinik
kantin panas,kantin
kantin terang kurang,kantin
saya beberapa kali ke pol poliklinik dengan keluh yang beda namun tiap beri obat selalu obat yang sama dengan belum namun keluh yang beda,poliklinik
pernah juga periksa oleh dokter di sana dokter itu sangat cuek dan irit bicara kalau periksa juga sangat sebentar kilas saya ragu kalau misal diagnosa dan obat yang beri sesuai dengan yang derita oleh pasien saya saran agar dokter khusus yang periksa di dalam ruang itu benar beri waktu untuk lihat apa yang sedang alami oleh pasien supaya diagnosa dan obat serta dosis yang beri tepat,poliklinik
terkadang saya juga rasa cukup sulit ketika ada di pustaka dan cari tempat yang agak pojok untuk kerja tugas dan butuh koneksi ke internet tapi wifi sangat lemot di tempat sebut,puskom
ketika ada di jam sibuk seperti dekat waktu untuk uji dan pustaka jadi sangat ramai sehingga tidak lagi kondusif untuk jadi tempat ajar karena ramai harap saya tugas pustaka dapat ingat mahasiswa ketika pustaka rasa sudah sangat ramai sehingga mahasiswa dapat jaga agar pustaka tetap tenang sehingga tidak ganggu yang lain untuk ajar,perpustakaan
sampai jauh ini layan yang saya terima ketika ada di pustaka sudah sangat baik proses pinjam yang mudah buku yang sedia banyak dan cukup lengkap fasilitas yang ada sangat dukung untuk ajar dan juga tugas pustaka yang ramah ha saja terkadang saya alami sulit ketika sedang cari buah buku dan tulis sedia namun ketika cari nyata buku tidak ada atau juga buku ada tapi tidak ada di tempat yang harus,perpustakaan
layan tahan kampus kurang mampu sedia tempat parkir yang strategis untuk beberapa waktu yang lalu,ukk
wifi di kampus terkadang susah jangkau pada tempat kelas tentu sinyal kurang kuat,puskom
suasana di kantin panas dan ramai kalau bisa tambah atau luas,kantin
situs sim dan lentera server sering error,baak
kantin panas,kantin
layan buat ktm terlalu ribet dan sulit,baak
wifi petra ha jangkau untuk area tentu dan masih sering lambat,puskom
layan pustaka kurang sigap saat pinjam kaset koleksi audio visual audio visual terkadang tidak ada tugas yang jaga jadi harus minta kepada orang dari divisi lain untuk menandatangani bon pinjam,perpustakaan
layan di baak kurang tata rapi tidak ada tanda jalur mana untuk urus ktm jalur mana untuk urus urus akademik dan bagai,baak
layan di baak kurang struktur dengan baik mana tidak ada tunjuk instruksi pandu apa yang harus laku bawa isi saat urus ktm rusak hilang urus perlu akademik seperti transfer jurus transkrip nilai dan bagai,baak
cctv di area kampus sekitar kampus kurang pada baik banyak karena apabila jadi hal yang tidak ingin seperti kriminalitas dsb dapat segera ditindaklanjuti,ukk
layan proposal giat rasa kurang cepat untuk kece ada revisi atau tidak seringkali ketika ecek situs posisi proposal bisa minggu minggu di tempat yang sama tidak ada ubah telah cek atau belum sehingga lembaga mahasiswa juga susah untuk pasti apakah proposal ada revisi atau tidak,baka
semua sudah oke tetapi layan baka dalam revisi proposal masih bisa lebih baik lagi,baka
pustaka kurang cakap dalam tanggap koleksi yang rusak tidak dapat discan di sirkulasi baik bila ada koleksi yang rusak segera baru kode atau minta pihak pinjam untuk ganti koleksi yang rusak buku sobek kaset gores dsb,perpustakaan
layan di pustaka yang tentang syarat kumpul skripsi masih simpang siur di situs masih ikut syarat yang lama dan belum diupdate,perpustakaan
situs lentera masih tidak enak untuk guna,baak
untuk baka layan sangat cepat dan jelas tidak tele tele,baka
untuk ukk sudah baik cuma jika jadi salah teknis mohon baik dengan cepat juga jangan sampai kena mobil karena pernah saya lihat palang parkir karena tidak baik dengan baik jatuh kena bagi depan mobil,ukk
poliklinik sudah sedia bagai butuh untuk bantu tangan masalah sehat karena saya pu riwayat asma dan obat lengkap juga layan baik,poliklinik
pustaka sudah tanggap tapi kurang sadar mahasiswa untuk jaga tertib,perpustakaan
layan baka kena proposal dan lpj terkadang sendat dan proses cukup bingung karena komentar kena giat kurang spesifik terkadang sudah tera di proposal tetapi masih ta,baka
atap di gedung juga ada yang bocor sehingga kalau hujan selasar p p basah,uppk
ruang kelas di gedung beberapa lantai rusak dan perlu baik namun belum baik,uppk
kalender akademik di sim di situs bukan untuk download masih belum baru hingga uji akhir semester masih baru sampai uji tengah semester,baak
kadang obat yang beri dari poliklinik kurang ampuh untuk obat sakit padahal ha flu biasa,poliklinik
kadang pol salah kasih obat,poliklinik
makan kantin mahal,kantin
ruang laptop di puskom gedung harus ada kembali,puskom
pinjam barang di uppk terkadang tidak beri sesuai jumlah yang minta,uppk
jumlah loker di puskom tambah,puskom
internet selalu minta koneksi ulang kali terkadang lemot harus login ulang apabila pindah gedung,puskom
ingat saya waktu guna fasilitas pustaka petra ada beberapa buku yang tidak saya temu di koleksi maka saya ta ke staf untuk tahu bagaimana agar saya bisa rekomendasi buku yang saya mau tetapi ada mekanisme yang turut saya ribet entah saya yang kurang paham jelas staf atau bagaimana,perpustakaan
dokter di poliklinik kurang erti sakit beberapa kali saya dengar cerita dari teman jika salah didiagnosa oleh dokter poliklinik hasil diagnosa di poliklinik beda dengan diagnosa di dokter rumah sakit,poliklinik
kantin sedikit sekali makan dan tidak berapa enak serta panas,kantin
proses skkk lama,baka
lantai dekat wastafel di toilet gedung terkadang becek,uppk
uppk beri layan yang cepat dan tanggap dalam hal hilang barang misal ketika dompet saya hilang beberapa hari kemudian uppk langsung beri kabar dengan telpon saya cara langsung,uppk
letak poliklinik sulit temu oleh mahasiswa karena lokasi yang jauh dan tidak mudah jangkau,poliklinik
layan buat ktm baru sudah sangat baik dan cepat,baak
saran untuk pustaka agar atur ketat pustaka bukan tempat untuk tidur maupun pacar,perpustakaan
pustaka kece buku skripsi terlalu lama,perpustakaan
poliklinik terkadang obat tidak lengkap contoh obat tetes mata,poliklinik
layan mahasiswa dalam hal aju panjang waktu untuk validasi prs karena lupa agak sulit dan bingung karena harus bolak balik ke prodi atau jurus dan baak,baak
layan guna ruang kelas terkadang mikrofon kurang bagus layer proyektor kerja terkadang buruk,uppk
